good,anchor,species,gene_name,description
0,0,s__Sodaliphilus sp004557565,GNLHLKIL_00878,(not reviewed)
0,0,s__Sodaliphilus sp004557565,MOGKDPAH_01639,(not reviewed)
0,0,s__Sodaliphilus sp004557565,NCGDLDOI_00140,(not reviewed)
0,0,s__Sodaliphilus sp004557565,GMMJOHOL_01248,(not reviewed)
0,0,s__Sodaliphilus sp004557565,EJGBAFME_01641,(not reviewed)
0,0,s__Sodaliphilus sp004557565,DJFEGOAD_01007,(not reviewed)
0,0,s__Sodaliphilus sp004557565,KCFNPGKJ_01484,(not reviewed)
0,0,s__Sodaliphilus sp004557565,OHKFBBPH_00545,(not reviewed)
0,0,s__Sodaliphilus sp004557565,DAJNDEIP_01218,(not reviewed)
0,0,s__Sodaliphilus sp004557565,GPAFGJJE_01238,(not reviewed)
0,0,s__Sodaliphilus sp004557565,CDBOFCNP_01036,(not reviewed)
0,0,s__Sodaliphilus sp004557565,OLPOOAPF_00361,(not reviewed)
0,0,s__Sodaliphilus sp004557565,DCPAJOGD_01076,(not reviewed)
0,0,s__Sodaliphilus sp004557565,OCMFAKDP_01590,(not reviewed)
0,0,s__Sodaliphilus sp004557565,NCHJAPOO_00452,(not reviewed)
0,0,s__Sodaliphilus sp004557565,AMGICADG_00113,(not reviewed)
0,0,s__Sodaliphilus sp004557565,LEEECCAL_00247,(not reviewed)
0,0,s__Sodaliphilus sp004557565,JHPFMEME_00023,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FIKGMHDC_00998,DNA gyrase subunit A
1,0,s__Cryptobacteroides sp900546925,CMHHCIHA_00622,beta-ketoacyl-ACP synthase II
0,0,s__Cryptobacteroides sp900546925,BDFOMKKK_00335,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,BEKEPKDC_00417,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,EHLNOCPD_00288,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FNIGJHLI_02652,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,NMJBBHDE_00821,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,HGGDIOJJ_00346,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FNIGJHLI_00373,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,KKIKNGPM_00658,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,OIJDNDLK_00981,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,BEKEPKDC_00736,(not reviewed)
1,0,s__Cryptobacteroides sp900546925,HJGGINOG_01324,species specific hypothetical
0,0,s__Cryptobacteroides sp900546925,JPFIBGDK_01316,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,EHLNOCPD_00141,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,PIAKILDP_01609,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,BNDPAENK_00069,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FPPIEDHB_01028,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,OIJDNDLK_01170,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,IFPOGEKL_01232,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,EPLMDCHM_00231,(not reviewed)
1,0,s__Cryptobacteroides sp900546925,NMJBBHDE_00624,HAMP domain-containing sensor histidine kinase
0,0,s__Cryptobacteroides sp900546925,FNIGJHLI_00372,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,HLFEEHJE_00326,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,OIJDNDLK_01266,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,LELOEEPG_01709,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,EBOBPIFA_01286,not species specific
0,0,s__Cryptobacteroides sp900546925,LELOEEPG_00783,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,LELOEEPG_01683,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FNIGJHLI_00528,(not reviewed)
1,1,s__Cryptobacteroides sp900546925,OIGHMFGK_00345,Stealth CR1 domain-containing protein [Candidatus Cryptobacteroides sp.] 
0,0,s__Cryptobacteroides sp900546925,BEKEPKDC_00812,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FNIGJHLI_01182,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,DHLCKKDO_00372,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,LHAJOBLP_00025,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,PIAKILDP_00780,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,ONFMJKEK_00517,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FNIGJHLI_02317,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FOKFIHIM_00521,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,LELOEEPG_01818,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FOKFIHIM_01509,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,EHLNOCPD_00004,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,KJEHENCE_00076,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,CPBNAKKL_01317,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FNIGJHLI_01889,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,EHLNOCPD_01803,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FNIGJHLI_00592,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,BNDPAENK_03002,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,FNIGJHLI_00604,(not reviewed)
0,0,s__Cryptobacteroides sp900546925,NLDKNCOF_00688,(not reviewed)
0,0,s__Prevotella sp000434975,AJCJGFNH_00477,(not reviewed)
0,0,s__Prevotella sp000434975,MLIECJNI_00172,not species specific
0,0,s__Prevotella sp000434975,BAIAEPON_01639,(not reviewed)
0,0,s__Prevotella sp000434975,HGGBKJHA_00064,(not reviewed)
0,0,s__Prevotella sp000434975,PDHLFJAL_00903,(not reviewed)
0,0,s__Prevotella sp000434975,HGGBKJHA_01842,(not reviewed)
0,0,s__Prevotella sp000434975,BAIAEPON_00034,(not reviewed)
0,0,s__Prevotella sp000434975,JJOBPLCF_00363,(not reviewed)
1,0,s__Prevotella sp000434975,IGEONAAO_00273,hypothetical protein
0,0,s__Prevotella sp000434975,OKGFALME_01289,(not reviewed)
0,0,s__Prevotella sp000434975,FICIFAOE_01156,(not reviewed)
0,0,s__Prevotella sp000434975,PJCPKNOJ_00757,(not reviewed)
0,0,s__Prevotella sp000434975,PJCPKNOJ_01635,(not reviewed)
0,0,s__Prevotella sp000434975,CKKCGOAK_00312,(not reviewed)
0,0,s__Prevotella sp000434975,POCFJPKP_02252,(not reviewed)
0,0,s__Prevotella sp000434975,HGGBKJHA_00160,(not reviewed)
0,0,s__Prevotella sp000434975,EDNEPHGO_00886,(not reviewed)
0,0,s__Prevotella sp000434975,PMHDHLGK_00474,(not reviewed)
0,0,s__Prevotella sp000434975,ADEAHPKA_01417,not species specific
0,0,s__Prevotella sp000434975,JIFGGGBB_01218,(not reviewed)
0,0,s__Prevotella sp000434975,BJGOEPIF_01785,(not reviewed)
0,0,s__Prevotella sp000434975,ADEAHPKA_00850,not species specific
0,0,s__Prevotella sp000434975,AOHCKNEB_00316,(not reviewed)
1,0,s__Prevotella sp000434975,APOLKBKG_00160,efflux RND transporter permease subunit
0,0,s__Prevotella sp000434975,PBEPHKLP_00986,(not reviewed)
0,0,s__Prevotella sp000434975,MKJPHDIO_02117,(not reviewed)
0,0,s__Prevotella sp000434975,CDDALOHL_00304,(not reviewed)
0,0,s__Prevotella sp000434975,FAHFCHBA_00562,(not reviewed)
0,0,s__Prevotella sp000434975,PAPCDFOC_01977,(not reviewed)
0,0,s__Prevotella sp000434975,JELNHAMP_00393,leucine-rich repeat Prevotella specific
0,0,s__Prevotella sp000434975,KIEMINLC_00247,(not reviewed)
0,0,s__Prevotella sp000434975,AEONIABF_01376,(not reviewed)
0,0,s__Prevotella sp000434975,KAMGCPOM_00863,(not reviewed)
0,0,s__Prevotella sp000434975,MAMBNBHB_01849,(not reviewed)
0,0,s__Prevotella sp000434975,FICFGDGG_01397,(not reviewed)
0,0,s__Prevotella sp000434975,GKMHEKNE_00855,(not reviewed)
0,0,s__Prevotella sp000434975,AKOPGKAK_00525,(not reviewed)
1,0,s__Prevotella sp000434975,IAFAPFAC_01635,hypothetical protein
0,0,s__Prevotella sp000434975,FICIFAOE_00893,(not reviewed)
0,0,s__Prevotella sp000434975,ANANEJEE_00571,(not reviewed)
0,0,s__Prevotella sp000434975,NMEPACKB_01212,(not reviewed)
0,0,s__Prevotella sp000434975,NLPCOEEN_00984,(not reviewed)
0,0,s__Prevotella sp000434975,DLCEKAJD_00015,(not reviewed)
0,0,s__Prevotella sp000434975,AEONIABF_01700,(not reviewed)
0,0,s__Prevotella sp000434975,COAJKLAI_00149,(not reviewed)
0,0,s__Prevotella sp000434975,AIOIDKOE_01636,(not reviewed)
0,0,s__Prevotella sp000434975,GADINLFB_01404,(not reviewed)
0,0,s__Prevotella sp000434975,FLLEODKL_00268,(not reviewed)
0,0,s__Prevotella sp000434975,DLCEKAJD_01669,(not reviewed)
0,0,s__Prevotella sp000434975,EEMFJJMB_01353,(not reviewed)
1,0,s__JALFVM01 sp022787145,JDFEBBFI_00464,maybe species specific? hypothetical protein
0,0,s__UBA2868 sp004552595,GHILBDOG_00591,ribosomal protein
0,0,s__UBA2868 sp004552595,KMEHCMKH_00746,s__UBA2868 sp004552595.cds.min50.dedup.top50(1)
0,0,s__UBA2868 sp004552595,JGIIMPIP_01734,cysteine/tRNA ligase - maybe not species specific
0,0,s__UBA2868 sp004552595,IEHIAHIF_00466,maybe not species specific
0,0,s__UBA2868 sp004552595,IPIMNMMB_00240,DNA topoisomerase
0,0,s__UBA2868 sp004552595,GLNAKBGL_01080,RNA-guided endonuclease
1,0,s__Prevotella sp002251295,COCKKAPE_02026,polysaccharide biosynthesis C-terminal domain-containing protein
0,0,s__Prevotella sp002251295,IPDEFMND_01992,glutamate tRNA ligase
1,0,s__Prevotella sp002251295,KINAFDOL_01550,transcription-repair coupling factor
1,0,s__Prevotella sp002251295,KPACIEHJ_00390,DUF4302 protein
1,1,s__Prevotella sp002251295,GFALEAHI_01277,YfnO
1,0,s__Prevotella sp002251295,MNKNIMJG_02022,hypothetical
0,0,s__Prevotella sp002251295,HJAAFCJA_01737,(not reviewed)
0,0,s__Prevotella sp002251295,IMEHPLBM_01421,(not reviewed)
0,0,s__Prevotella sp002251295,EFBIIPPC_00065,(not reviewed)
0,0,s__Prevotella sp002251295,AKDLHCAJ_00591,(not reviewed)
0,0,s__Prevotella sp002251295,JEGLOHPD_00008,(not reviewed)
0,0,s__Prevotella sp002251295,KPACIEHJ_01080,(not reviewed)
0,0,s__Prevotella sp002251295,GFALEAHI_00863,(not reviewed)
0,0,s__Prevotella sp002251295,OABEKJMN_01676,(not reviewed)
0,0,s__Prevotella sp002251295,KPACIEHJ_00814,(not reviewed)
0,0,s__Prevotella sp002251295,JEGLOHPD_00009,(not reviewed)
0,0,s__Prevotella sp002251295,IOPEOCKD_01198,(not reviewed)
0,0,s__Prevotella sp002251295,OPHKNFIJ_00863,(not reviewed)
0,0,s__Prevotella sp002251295,BKCOJPAF_01771,(not reviewed)
0,0,s__Prevotella sp002251295,PHBICEPA_01771,(not reviewed)
0,0,s__Prevotella sp002251295,EMMGDLHG_01682,(not reviewed)
0,0,s__Prevotella sp002251295,JEGLOHPD_00711,(not reviewed)
0,0,s__Prevotella sp002251295,KINAFDOL_01787,(not reviewed)
0,0,s__Prevotella sp002251295,JJOGGEFO_01958,(not reviewed)
0,0,s__Prevotella sp002251295,KINAFDOL_00941,(not reviewed)
0,0,s__Prevotella sp002251295,JIKOIIHE_01512,(not reviewed)
0,0,s__Prevotella sp002251295,GIGIIIBC_01837,(not reviewed)
0,0,s__Prevotella sp002251295,OPHKNFIJ_01029,(not reviewed)
0,0,s__Prevotella sp002251295,OHECMJPO_00624,(not reviewed)
0,0,s__Prevotella sp002251295,AABONELB_00198,(not reviewed)
0,0,s__Prevotella sp002251295,BFEIIPNP_01511,(not reviewed)
0,0,s__Prevotella sp002251295,DADIHEAJ_02224,(not reviewed)
0,0,s__Prevotella sp002251295,PDDBHBKM_01762,(not reviewed)
0,0,s__Prevotella sp002251295,OPHKNFIJ_01746,(not reviewed)
0,0,s__Prevotella sp002251295,HJAAFCJA_01714,(not reviewed)
0,0,s__Prevotella sp002251295,BFEIIPNP_01337,(not reviewed)
0,0,s__Prevotella sp002251295,FEDOJPGJ_00174,(not reviewed)
0,0,s__Prevotella sp002251295,PDDBHBKM_01998,(not reviewed)
0,0,s__Prevotella sp002251295,KPACIEHJ_01065,(not reviewed)
0,0,s__Prevotella sp002251295,DALIOALO_00945,(not reviewed)
0,0,s__Prevotella sp002251295,NHJMPMCJ_01847,(not reviewed)
0,0,s__Prevotella sp002251295,JEGLOHPD_01423,(not reviewed)
0,0,s__Prevotella sp002251295,ALJAHFPJ_00591,(not reviewed)
0,0,s__Prevotella sp002251295,GDBLKLPM_00942,(not reviewed)
0,0,s__Prevotella sp002251295,KINAFDOL_01506,(not reviewed)
0,0,s__Prevotella sp002251295,EDJDNIBD_01588,(not reviewed)
0,0,s__Prevotella sp002251295,EPAMELED_00877,(not reviewed)
0,0,s__Prevotella sp002251295,IOPEOCKD_00946,(not reviewed)
0,0,s__Prevotella sp002251295,FPJFICOB_00189,(not reviewed)
0,0,s__Prevotella sp002251295,KNLPPHPD_00844,(not reviewed)
0,0,s__Colivicinus sp002299675,GEJNMJHK_01170,(not reviewed)
1,1,s__Colivicinus sp002299675,CJCMOHOO_00566,RNA lysidine(34) synthetase TilS [Erysipelotrichaceae bacterium] 
0,0,s__Colivicinus sp002299675,MFJKOBHN_00700,(not reviewed)
0,0,s__Colivicinus sp002299675,IHHGCNHF_01282,(not reviewed)
1,0,s__Colivicinus sp002299675,LDCMLOKM_00609,adenine deaminase [Erysipelotrichaceae bacterium] 
1,0,s__Colivicinus sp002299675,HLAFBHBG_00131,AAA family ATPase [Solobacterium sp.] 
1,0,s__Colivicinus sp002299675,EDFHFOCH_00218,proton-conducting transporter membrane subunit [Solobacterium sp.]
0,0,s__Colivicinus sp002299675,CLPLIIHD_02094,(not reviewed)
0,0,s__Colivicinus sp002299675,OMGBCPFD_00113,(not reviewed)
0,0,s__Colivicinus sp002299675,OLMMMHMA_00691,(not reviewed)
1,0,s__Colivicinus sp002299675,AINLKECP_00121,glycoside hydrolase family 1 protein [Solobacterium sp.] 
0,0,s__Colivicinus sp002299675,IHHGCNHF_00035,(not reviewed)
0,0,s__Colivicinus sp002299675,DCNGDHLN_00188,(not reviewed)
0,0,s__Colivicinus sp002299675,MAEKDHDM_00310,(not reviewed)
0,0,s__Colivicinus sp002299675,OKBMHBJH_00253,(not reviewed)
0,0,s__Colivicinus sp002299675,HLAFBHBG_00423,(not reviewed)
0,0,s__Colivicinus sp002299675,NPHOINMK_01102,(not reviewed)
0,0,s__Colivicinus sp002299675,OKBMHBJH_00564,(not reviewed)
1,0,s__Ornithospirochaeta sp022785155,DIHHAJIK_01286,pyruvate phosphate dikinase [Spirochaetales bacterium]
0,0,s__Ornithospirochaeta sp022785155,LKMFJOKJ_01452,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BCHPCDPL_01462,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,AOCKAKOA_02189,(not reviewed)
1,0,s__Ornithospirochaeta sp022785155,DIHHAJIK_00954,hypothetical protein [Spirochaetales bacterium] 
1,0,s__Ornithospirochaeta sp022785155,BCHPCDPL_00184,porin family protein [Spirochaetales bacterium] 
0,0,s__Ornithospirochaeta sp022785155,AOCKAKOA_01158,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BDAFNFPJ_00422,(not reviewed)
1,0,s__Ornithospirochaeta sp022785155,DEDCPOFE_01964,flippase [Spirochaetales bacterium] 
0,0,s__Ornithospirochaeta sp022785155,AOCKAKOA_02034,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,DIHHAJIK_00867,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,DEDCPOFE_01907,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,DEDCPOFE_01493,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BOGJGCEM_00419,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,PIBCIPOC_00260,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,LKMFJOKJ_00057,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,PIBCIPOC_01182,(not reviewed)
1,0,s__Ornithospirochaeta sp022785155,LKMFJOKJ_01443,histidine--tRNA ligase [Candidatus Ornithospirochaeta sp.] 
0,0,s__Ornithospirochaeta sp022785155,BCHPCDPL_00471,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,HIMDPHKH_01011,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BOGJGCEM_01580,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BOGJGCEM_00480,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,DEDCPOFE_01259,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,HIMDPHKH_00880,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,AOCKAKOA_01574,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,AOCKAKOA_01569,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,DEDCPOFE_01483,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,PIBCIPOC_01718,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,AOCKAKOA_00824,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BOGJGCEM_00506,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BOGJGCEM_01327,(not reviewed)
1,1,s__Ornithospirochaeta sp022785155,DEDCPOFE_00144,MATE family efflux transporter [Spirochaetales bacterium] 
0,0,s__Ornithospirochaeta sp022785155,LKMFJOKJ_01322,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,PIBCIPOC_00574,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,MNGIJOPD_01760,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,PIBCIPOC_01343,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BOGJGCEM_00883,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BOGJGCEM_00716,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,LKMFJOKJ_00632,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BDAFNFPJ_01589,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BCHPCDPL_00203,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,BCHPCDPL_00410,(not reviewed)
0,0,s__Ornithospirochaeta sp022785155,LKMFJOKJ_01321,(not reviewed)
0,0,s__Cryptobacteroides sp000432655,FCPPOLBJ_01097,(not reviewed)
0,0,s__Cryptobacteroides sp000432655,FCPPOLBJ_01539,(not reviewed)
1,0,s__Cryptobacteroides sp000432655,PGJBNNGM_01103,DUF349 domain-containing protein [Bacteroides sp.] 
0,0,s__Cryptobacteroides sp000432655,AINGCLHH_01781,excinuclease ABC subunit A [Rikenellaceae bacterium] 
0,0,s__Cryptobacteroides sp000432655,FCPPOLBJ_01981,(not reviewed)
0,0,s__Cryptobacteroides sp000432655,BDIGJAEE_01929,transposase
0,0,s__Cryptobacteroides sp000432655,AJAOAAFA_00423,(not reviewed)
1,0,s__Cryptobacteroides sp000432655,CJBPHMOC_00609,hypothetical protein [Bacteroides sp.] 
1,0,s__Cryptobacteroides sp000432655,FCPPOLBJ_00489,phospholipase D-like domain-containing protein [Candidatus Cryptobacteroides sp.] 
0,0,s__Cryptobacteroides sp000432655,CHNKIMHD_00529,(not reviewed)
0,0,s__Cryptobacteroides sp000432655,BPIFCFLL_00708,(not reviewed)
0,0,s__Cryptobacteroides sp000432655,JDIPOLOI_01075,(not reviewed)
0,0,s__Cryptobacteroides sp000432655,BIBFGMOK_01065,(not reviewed)
1,1,s__Cryptobacteroides sp000432655,FCPPOLBJ_01182,TonB-dependent receptor [Bacteroides sp.] 
1,0,s__Cryptobacteroides sp000432655,AINGCLHH_00714,outer membrane protein assembly complex YaeT protein [Bacteroides sp. CAG:1060] 
1,0,s__Cryptobacteroides sp000432655,BIBFGMOK_00552,PD-(D/E)XK nuclease family protein [Bacteroides sp.] 
0,0,s__UBA2868 sp004552595,GHILBDOG_00591,18S
1,1,s__UBA2868 sp004552595,KMEHCMKH_00746,multiple monosaccharide ABC transporter permease [Lachnospiraceae] 
1,0,s__UBA2868 sp004552595,IPIMNMMB_00240,type I DNA topoisomerase [Lachnospiraceae bacterium] 
1,0,s__UBA2868 sp004552595,IEHIAHIF_00466,L-arabinose isomerase [Lachnospiraceae bacterium] 
0,0,s__UBA2868 sp004552595,GLNAKBGL_01080,RNA-guided endonuclease TnpB family protein [Prevotella sp.]
0,0,s__Cryptobacteroides sp034089285,JOICFBBB_00740,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,PAFOMHJE_00204,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,ALBNLPDA_00834,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,APPGPOOG_00561,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,HMMKHJPF_01362,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,NEGNLLKM_00252,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,HJDFDDEP_01000,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,CEGKJMLJ_00367,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,GNJJLPEK_01053,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,PCBBEIBO_00195,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,PMGOFJOK_00542,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,EEAMPIIE_00833,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,FELCFHKP_00383,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,NEGNLLKM_00860,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,GDKPDOMG_00965,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,GNJJLPEK_00577,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,DEAECHMJ_00925,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,EKOLMFGH_00599,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,EEAMPIIE_00950,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,PLJBAKLA_01316,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,OHOEGCNB_00660,(not reviewed)
0,0,s__Cryptobacteroides sp034089285,ABLFDFLJ_01175,(not reviewed)
