,acc,assay_type,center_name,consent,experiment,sample_name,instrument,librarylayout,libraryselection,librarysource,platform,sample_acc,biosample,organism,sra_study,releasedate,bioproject,mbytes,loaddate,avgspotlen,mbases,insertsize,library_name,collection_date_sam,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam
18,SRR7182033,WGS,BIOMIN RESEARCH CENTER,public,SRX4098877,NGS_A_T8_d8.43357424,NextSeq 500,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS3315090,SAMN09209553,pig gut metagenome,SRP148398,2018-05-18 00:00:00+00:00,PRJNA471402,798,,270,1859,,NGS_A_T8_d8,9/28/16,Austria,Europe,['Austria:Tulln']
19,SRR8960953,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740333,Fe7/29863,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498127,SAMN11097946,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,1516,,302,4935,,plate_7_C1,2/7/17,Australia,Oceania,['Australia: NSW']
20,SRR11723721,WGS,SEOUL NATIONAL UNIV.,public,SRX8283037,1908_30_10,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS6606723,SAMN14846983,pig gut metagenome,SRP260376,2020-05-07 00:00:00+00:00,PRJNA630862,1707,,202,5209,,dd_b30_15,3/12/19,South Korea,Asia,['South Korea']
21,SRR11124846,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761214,Fe14/14322,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497576,SAMN11098053,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,333,,302,1138,,plate_5_H2,2/14/17,Australia,Oceania,['Australia: NSW']
22,SRR17241564,WGS,UNIVERSITY OF MINNESOTA,public,SRX13420696,NPB_F5_11_C9,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS11322223,SAMN24002071,pig gut metagenome,SRP350924,2022-08-11 00:00:00+00:00,PRJNA788462,5532,,300,17743,,NPB_F5_11_C9_S12,11/14/18,USA,North America,['USA:Minnesota']
23,SRR8960661,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740050,Ja31/29646,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497632,SAMN11097815,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,1997,,302,6442,,plate_7_E8,1/31/17,Australia,Oceania,['Australia: NSW']
24,SRR11125473,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761834,Fe28/29665,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497978,SAMN11098309,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,293,,302,1029,,plate_2_B7,2/28/17,Australia,Oceania,['Australia: NSW']
25,ERR3211991,WGS,"CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS",public,ERX3239518,SAMEA5414636,Illumina HiSeq 4000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,ERS3219938,SAMEA5414636,pig gut metagenome,ERP114226,2019-03-21 00:00:00+00:00,PRJEB31650,1885,,302,4789,,unspecified,4/11/16,Denmark,Europe,[]
26,SRR11489776,WGS,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,public,SRX8065739,C-LDA9,Illumina HiSeq 3000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS6434473,SAMN14543231,pig gut metagenome,SRP118553,2020-05-01 00:00:00+00:00,PRJNA408025,4557,,300,11218,,EGENE_LC-LDA9,3/5/17,China,Asia,['China:Sichuan']
27,SRR11126524,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7762739,Fe24/29652,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497880,SAMN11098272,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,413,,302,1407,,plate_4_C3,2/24/17,Australia,Oceania,['Australia: NSW']
28,ERR1135199,WGS,BEIJING GENOME INSTITUTE,public,ERX1214378,SAMEA3663026,Illumina HiSeq 2000,PAIRED,other,METAGENOMIC,ILLUMINA,ERS970175,SAMEA3663026,pig gut metagenome,ERP013165,2016-01-12 00:00:00+00:00,PRJEB11755,3405,,179,4873,,120330,,France,Europe,[]
29,SRR11125394,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761913,Fe14/29631,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498222,SAMN11098064,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,514,,302,1497,,plate_1_A10,2/14/17,Australia,Oceania,['Australia: NSW']
30,SRR8960202,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5739837,Fe7/29742,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498137,SAMN11097922,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,1240,,302,4074,,plate_5_E10,2/7/17,Australia,Oceania,['Australia: NSW']
31,SRR8960751,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740535,Fe14/29667,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498134,SAMN11098098,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,1901,,302,6166,,plate_2_G9,2/14/17,Australia,Oceania,['Australia: NSW']
32,SRR11125145,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761490,Fe1/14192,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498271,SAMN11097827,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,509,,302,1636,,plate_5_G12,2/1/17,Australia,Oceania,['Australia: NSW']
33,ERR1135242,WGS,BEIJING GENOME INSTITUTE,public,ERX1214421,SAMEA3663069,Illumina HiSeq 2000,PAIRED,other,METAGENOMIC,ILLUMINA,ERS970218,SAMEA3663069,pig gut metagenome,ERP013165,2016-01-12 00:00:00+00:00,PRJEB11755,4277,,182,5739,,120329,,France,Europe,[]
34,SRR8960883,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740403,Fe24/29654,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497764,SAMN11098259,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,898,,302,2935,,plate_6_F1,2/24/17,Australia,Oceania,['Australia: NSW']
35,SRR11125517,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761790,Fe7/29846,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498133,SAMN11097924,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,454,,302,1298,,plate_4_E1,2/7/17,Australia,Oceania,['Australia: NSW']
36,SRR11183380,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7804047,Fe24/29652,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497880,SAMN11098272,pig gut metagenome,SRP188615,2020-02-26 00:00:00+00:00,PRJNA526405,466,,302,1566,,plate_4_C3,2/24/17,Australia,Oceania,['Australia: NSW']
37,ERR8314778,WGS,"CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS",public,ERX7882160,SAMEA12814008,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,ERS10420968,SAMEA12814008,pig gut metagenome,ERP135209,2022-04-08 00:00:00+00:00,PRJEB50613,4035,,300,13387,,unspecified,10/1/16,Denmark,Europe,[]
38,SRR11125122,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761513,Fe3/14306,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498057,SAMN11097848,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,338,,302,1199,,plate_4_B5,2/3/17,Australia,Oceania,['Australia: NSW']
39,SRR11126214,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7763049,Fe7/14261,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497843,SAMN11097975,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,324,,302,1122,,plate_3_C11,2/7/17,Australia,Oceania,['Australia: NSW']
40,SRR11125185,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761450,Ja31/29718.2,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498214,SAMN11097763,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,302,,302,1067,,plate_8_D2,1/31/17,Australia,Oceania,['Australia: NSW']
41,SRR8960975,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740311,Ma3/29694,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498123,SAMN11098421,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,1515,,302,4877,,plate_4_G4,3/3/17,Australia,Oceania,['Australia: NSW']
42,SRR11125309,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761998,Fe24/29700,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498113,SAMN11098284,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,381,,302,1311,,plate_5_H1,2/24/17,Australia,Oceania,['Australia: NSW']
43,ERR8314740,WGS,"CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS",public,ERX7882122,SAMEA12813970,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,ERS10420930,SAMEA12813970,pig gut metagenome,ERP135209,2022-04-08 00:00:00+00:00,PRJEB50613,2708,,302,9433,,unspecified,7/1/18,Denmark,Europe,[]
44,SRR11124885,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761175,Fe28/29667,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498284,SAMN11098335,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,372,,302,1308,,plate_3_H7,2/28/17,Australia,Oceania,['Australia: NSW']
45,SRR11184042,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7804536,Fe1/14160.2,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498282,SAMN11097822,pig gut metagenome,SRP188615,2020-02-26 00:00:00+00:00,PRJNA526405,415,,302,1407,,plate_8_G4,2/1/17,Australia,Oceania,['Australia: NSW']
46,SRR11125406,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761901,Fe10/29931,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497752,SAMN11098024,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,363,,302,1289,,plate_4_E9,2/10/17,Australia,Oceania,['Australia: NSW']
47,ERR1135406,WGS,BEIJING GENOME INSTITUTE,public,ERX1214585,SAMEA3663233,Illumina HiSeq 2000,PAIRED,other,METAGENOMIC,ILLUMINA,ERS970382,SAMEA3663233,pig gut metagenome,ERP013165,2016-01-12 00:00:00+00:00,PRJEB11755,3022,,196,4235,,130420,,China,Asia,[]
48,SRR8960413,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740298,Fe1/14192,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498271,SAMN11097827,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,1574,,302,4883,,plate_5_G12,2/1/17,Australia,Oceania,['Australia: NSW']
49,SRR8960442,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740269,Fe21/29644,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498316,SAMN11098199,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,2078,,302,6188,,plate_1_A3,2/21/17,Australia,Oceania,['Australia: NSW']
50,SRR11125707,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7762309,Ma7/29793,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497733,SAMN11098447,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,406,,302,1377,,plate_9_H1,3/7/17,Australia,Oceania,['Australia: NSW']
51,ERR1135266,WGS,BEIJING GENOME INSTITUTE,public,ERX1214445,SAMEA3663093,Illumina HiSeq 2000,PAIRED,other,METAGENOMIC,ILLUMINA,ERS970242,SAMEA3663093,pig gut metagenome,ERP013165,2016-01-12 00:00:00+00:00,PRJEB11755,4174,,183,5870,,120330,,France,Europe,[]
52,SRR11124891,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761744,Ma10/29679,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497774,SAMN11098488,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,314,,302,1099,,plate_10_H7,3/10/17,Australia,Oceania,['Australia: NSW']
53,SRR14369246,WGS,AGRICULTURE AND AGRI-FOOD CANADA,public,SRX10721729,H1P608W14FD021,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS8812127,SAMN17899749,pig gut metagenome,SRP262165,2021-05-06 00:00:00+00:00,PRJNA629856,1708,,502,5424,,H1P608W14FD021,,Canada,North America,['Canada:Lacombe']
54,SRR8960832,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740454,Fe7/29666,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497821,SAMN11097905,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,2043,,302,6564,,plate_4_G8,2/7/17,Australia,Oceania,['Australia: NSW']
55,SRR11125250,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7762057,Ja31/14277,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498007,SAMN11097684,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,293,,302,1029,,plate_8_D1,1/31/17,Australia,Oceania,['Australia: NSW']
56,SRR8960916,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740370,Fe21/14265,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498201,SAMN11098245,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,1680,,302,5387,,plate_4_H2,2/21/17,Australia,Oceania,['Australia: NSW']
57,SRR2329775,WGS,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIE",public,SRX1166976,z004,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS1047008,SAMN04009139,pig gut metagenome,SRP062937,2015-09-28 00:00:00+00:00,PRJNA293646,2106,,280,3735,,,6/1/14,China,Asia,['China:Beijing']
58,SRR17241631,WGS,UNIVERSITY OF MINNESOTA,public,SRX13420629,NPB_F9_6_F5,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS11322155,SAMN24002161,pig gut metagenome,SRP350924,2022-08-11 00:00:00+00:00,PRJNA788462,6927,,302,23064,,NPB_F9_6_F5_S8,11/19/18,USA,North America,['USA:Minnesota']
59,SRR11125163,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761472,Ja30/40519,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497904,SAMN11098531,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,441,,302,1482,,plate_9_C8,1/30/17,Australia,Oceania,['Australia: NSW']
60,SRR11124876,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7761184,Fe28/14183,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497738,SAMN11098343,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,828,,302,2420,,plate_1_C8,2/28/17,Australia,Oceania,['Australia: NSW']
61,SRR11489783,WGS,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,public,SRX8065732,C-LDA14,Illumina HiSeq 3000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS6434466,SAMN14543225,pig gut metagenome,SRP118553,2020-05-01 00:00:00+00:00,PRJNA408025,5368,,299,13145,,EGENE_LC-LDA14,3/5/17,China,Asia,['China:Sichuan']
62,SRR11125770,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7762246,Fe21/29653,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498199,SAMN11098246,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,369,,302,1110,,plate_1_C3,2/21/17,Australia,Oceania,['Australia: NSW']
63,SRR8960939,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740347,Ja31/29705,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4498011,SAMN11097680,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,892,,302,2889,,plate_8_D7,1/31/17,Australia,Oceania,['Australia: NSW']
64,SRR8960900,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX5740386,Ma7/14284,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497925,SAMN11098439,pig gut metagenome,SRP188615,2019-04-26 00:00:00+00:00,PRJNA526405,1626,,302,5266,,plate_10_A10,3/7/17,Australia,Oceania,['Australia: NSW']
65,ERR3212044,WGS,"CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS",public,ERX3239571,SAMEA5414690,NextSeq 500,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,ERS3219991,SAMEA5414690,pig gut metagenome,ERP114226,2019-03-21 00:00:00+00:00,PRJEB31650,1131,,301,2825,,unspecified,4/11/16,Denmark,Europe,[]
66,SRR11183445,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7803982,Fe21/29666,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497665,SAMN11098193,pig gut metagenome,SRP188615,2020-02-26 00:00:00+00:00,PRJNA526405,333,,302,1128,,plate_3_D1,2/21/17,Australia,Oceania,['Australia: NSW']
67,SRR11125289,WGS,UNIVERSITY OF TECHNOLOGY SYDNEY,public,SRX7762018,Ma7/29793,Illumina NovaSeq 6000,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,SRS4497733,SAMN11098447,pig gut metagenome,SRP188615,2020-02-20 00:00:00+00:00,PRJNA526405,391,,302,1358,,plate_9_H1,3/7/17,Australia,Oceania,['Australia: NSW']
68,ERR1135349,WGS,BEIJING GENOME INSTITUTE,public,ERX1214528,SAMEA3663176,Illumina HiSeq 2000,PAIRED,other,METAGENOMIC,ILLUMINA,ERS970325,SAMEA3663176,pig gut metagenome,ERP013165,2016-01-12 00:00:00+00:00,PRJEB11755,5468,,186,7025,,120521,,Denmark,Europe,[]
69,ERR3212031,WGS,"CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS",public,ERX3239558,SAMEA5414677,NextSeq 500,PAIRED,RANDOM,METAGENOMIC,ILLUMINA,ERS3219978,SAMEA5414677,pig gut metagenome,ERP114226,2019-03-21 00:00:00+00:00,PRJEB31650,1520,,290,3534,,unspecified,9/12/16,Denmark,Europe,[]
